time,wind_speed,temp_air,ghi,dhi
2019-01-05 01:00:00+00:00,0.6884108,-6.480255,-3.4722223e-05,0.0
2019-01-05 02:00:00+00:00,1.0197402,-6.4384766,-3.4722223e-05,0.0
2019-01-05 03:00:00+00:00,0.8239634,-6.6068115,-3.4722223e-05,0.0
2019-01-05 04:00:00+00:00,0.82269996,-6.3441772,-3.4722223e-05,0.0
2019-01-05 05:00:00+00:00,0.9368844,-6.836548,-3.4722223e-05,0.0
2019-01-05 06:00:00+00:00,0.80585957,-7.2789,-3.4722223e-05,0.0
2019-01-05 07:00:00+00:00,0.8960682,-6.075226,46.24493,19.847013
2019-01-05 08:00:00+00:00,1.1465325,-4.633606,168.84756,53.380325
2019-01-05 09:00:00+00:00,1.6348952,-3.2210999,271.04218,72.735855
2019-01-05 10:00:00+00:00,2.4780724,-2.6932983,360.05814,72.18219
2019-01-05 11:00:00+00:00,3.0911727,-1.8130188,380.14264,74.35037
2019-01-05 12:00:00+00:00,3.0872838,-1.3200378,344.5728,72.4451
2019-01-05 13:00:00+00:00,2.8273551,-1.2061157,260.9437,63.078125
2019-01-05 14:00:00+00:00,2.4408088,-1.623169,140.3664,45.662537
2019-01-05 15:00:00+00:00,2.4344652,-2.7477417,25.400938,12.249619
2019-01-05 16:00:00+00:00,2.3115366,-3.8830566,-3.4722223e-05,0.0
2019-01-05 17:00:00+00:00,2.1608286,-4.622223,-3.4722223e-05,0.0
2019-01-05 18:00:00+00:00,1.9474145,-5.202545,-3.4722223e-05,0.0
2019-01-05 19:00:00+00:00,1.6962181,-5.3461914,-3.4722223e-05,0.0
2019-01-05 20:00:00+00:00,1.6299056,-5.61261,-3.4722223e-05,0.0
2019-01-05 21:00:00+00:00,1.6394928,-5.546173,-3.4722223e-05,0.0
2019-01-05 22:00:00+00:00,1.7679555,-5.5423584,-3.4722223e-05,0.0
2019-01-05 23:00:00+00:00,1.5563809,-5.365814,-3.4722223e-05,0.0
2019-01-06 00:00:00+00:00,1.4438597,-5.1588745,-3.4722223e-05,0.0
2019-01-06 01:00:00+00:00,1.4594569,-4.923462,-3.4722223e-05,0.0
2019-01-06 02:00:00+00:00,1.3255223,-4.6937256,-3.4722223e-05,0.0
2019-01-06 03:00:00+00:00,1.2095819,-4.233032,-3.4722223e-05,0.0
2019-01-06 04:00:00+00:00,1.1672254,-4.112152,-3.4722223e-05,0.0
2019-01-06 05:00:00+00:00,1.1405321,-3.8590088,-3.4722223e-05,0.0
2019-01-06 06:00:00+00:00,1.065788,-3.8957214,-3.4722223e-05,0.0
2019-01-06 07:00:00+00:00,1.2333812,-3.5755005,19.929756,17.463923
2019-01-06 08:00:00+00:00,1.4062561,-2.8806152,70.25351,50.43125
2019-01-06 09:00:00+00:00,1.3675021,-2.2901917,146.94872,100.47833
2019-01-06 10:00:00+00:00,1.6134839,-2.0098267,198.24294,141.23001
2019-01-06 11:00:00+00:00,1.6936632,-1.4105225,257.13214,147.00168
2019-01-06 12:00:00+00:00,1.5194014,-1.0789185,258.39795,114.3766
2019-01-06 13:00:00+00:00,1.2139851,-1.1896667,181.35115,83.824036
2019-01-06 14:00:00+00:00,1.0430999,-1.1073914,102.33524,51.147533
2019-01-06 15:00:00+00:00,1.4025218,-1.9573059,16.272917,12.020208
2019-01-06 16:00:00+00:00,1.098777,-2.1212158,-3.4722223e-05,0.0
2019-01-06 17:00:00+00:00,0.55623895,-2.388916,-3.4722223e-05,0.0
2019-01-06 18:00:00+00:00,0.51405346,-2.4762573,-3.4722223e-05,0.0
2019-01-06 19:00:00+00:00,0.42379093,-1.5984802,-3.4722223e-05,0.0
2019-01-06 20:00:00+00:00,1.1928271,-2.5484009,-3.4722223e-05,0.0
2019-01-06 21:00:00+00:00,1.6854986,-2.7660828,-3.4722223e-05,0.0
2019-01-06 22:00:00+00:00,1.7303218,-3.045166,-3.4722223e-05,0.0
2019-01-06 23:00:00+00:00,1.8357583,-3.6292725,-3.4722223e-05,0.0
2019-01-07 00:00:00+00:00,1.3880358,-4.009613,-3.4722223e-05,0.0
2019-01-07 01:00:00+00:00,0.504625,-4.1937866,-3.4722223e-05,0.0
2019-01-07 02:00:00+00:00,0.6379243,-4.642456,-3.4722223e-05,0.0
2019-01-07 03:00:00+00:00,0.7983772,-5.114563,-3.4722223e-05,0.0
2019-01-07 04:00:00+00:00,0.95792866,-4.889923,-3.4722223e-05,0.0
2019-01-07 05:00:00+00:00,1.2267013,-4.7462463,-3.4722223e-05,0.0
2019-01-07 06:00:00+00:00,1.6265485,-4.629822,-3.4722223e-05,0.0
2019-01-07 07:00:00+00:00,2.1126447,-4.728546,35.47132,26.263023
2019-01-07 08:00:00+00:00,2.6176631,-4.0374756,120.521,88.631424
2019-01-07 09:00:00+00:00,2.5687141,-3.3084412,189.14302,130.14073
2019-01-07 10:00:00+00:00,2.0647407,-2.7008972,244.7692,162.7759
2019-01-07 11:00:00+00:00,2.0046391,-2.2756348,253.68626,171.96695
2019-01-07 12:00:00+00:00,1.9773655,-2.0035095,214.0658,155.45663
2019-01-07 13:00:00+00:00,1.9153732,-2.0421143,152.0542,131.06451
2019-01-07 14:00:00+00:00,1.5973783,-2.4066162,79.94413,64.70816
2019-01-07 15:00:00+00:00,1.3044858,-2.206665,20.745522,16.588125
2019-01-07 16:00:00+00:00,1.4532951,-3.340088,-3.4722223e-05,0.0
2019-01-07 17:00:00+00:00,1.6475428,-4.4804688,-3.4722223e-05,0.0
2019-01-07 18:00:00+00:00,1.8597989,-5.5360413,-3.4722223e-05,0.0
2019-01-07 19:00:00+00:00,1.8099728,-6.24292,-3.4722223e-05,0.0
2019-01-07 20:00:00+00:00,1.5154392,-6.5903625,-3.4722223e-05,0.0
2019-01-07 21:00:00+00:00,1.3154643,-6.883362,-3.4722223e-05,0.0
2019-01-07 22:00:00+00:00,1.0207771,-5.5170593,-3.4722223e-05,0.0
2019-01-07 23:00:00+00:00,0.32920998,-6.2752075,-3.4722223e-05,0.0
2019-01-08 00:00:00+00:00,0.44330215,-6.861206,-3.4722223e-05,0.0
2019-01-08 01:00:00+00:00,0.47502735,-7.262451,-3.4722223e-05,0.0
2019-01-08 02:00:00+00:00,0.48732147,-7.5307617,-3.4722223e-05,0.0
2019-01-08 03:00:00+00:00,0.55146724,-7.978821,-3.4722223e-05,0.0
2019-01-08 04:00:00+00:00,0.5182898,-8.500275,-3.4722223e-05,0.0
2019-01-08 05:00:00+00:00,0.6526993,-9.199585,-3.4722223e-05,0.0
2019-01-08 06:00:00+00:00,0.71943426,-9.693207,-3.4722223e-05,0.0
2019-01-08 07:00:00+00:00,0.6962101,-8.98822,46.610626,19.831493
2019-01-08 08:00:00+00:00,0.8808888,-7.3902893,163.65764,59.590607
2019-01-08 09:00:00+00:00,1.3854696,-5.631592,272.37833,80.57619
2019-01-08 10:00:00+00:00,1.7673662,-4.5089417,362.632,72.90961
2019-01-08 11:00:00+00:00,2.043537,-3.5539856,385.8529,73.2825
2019-01-08 12:00:00+00:00,2.3304746,-2.7964478,353.99622,70.76611
2019-01-08 13:00:00+00:00,2.7153625,-2.8331604,268.9606,63.05414
2019-01-08 14:00:00+00:00,2.6292982,-3.3710938,148.91777,47.126015
2019-01-08 15:00:00+00:00,2.306423,-4.143799,30.042326,14.043958
2019-01-08 16:00:00+00:00,2.1927264,-5.1936646,-3.4722223e-05,0.0
2019-01-08 17:00:00+00:00,1.5473258,-6.4486084,-3.4722223e-05,0.0
2019-01-08 18:00:00+00:00,1.5590501,-7.37381,-3.4722223e-05,0.0
2019-01-08 19:00:00+00:00,1.737428,-8.318024,-3.4722223e-05,0.0
2019-01-08 20:00:00+00:00,1.6323563,-8.717346,-3.4722223e-05,0.0
2019-01-08 21:00:00+00:00,1.5133815,-8.905304,-3.4722223e-05,0.0
2019-01-08 22:00:00+00:00,1.7426105,-7.907318,-3.4722223e-05,0.0
2019-01-08 23:00:00+00:00,1.7494314,-6.9213257,-3.4722223e-05,0.0
2019-01-09 00:00:00+00:00,1.8114542,-6.383423,-3.4722223e-05,0.0
2019-01-09 01:00:00+00:00,1.8735913,-7.137146,-3.4722223e-05,0.0
2019-01-09 02:00:00+00:00,2.1606302,-6.7232666,-3.4722223e-05,0.0
2019-01-09 03:00:00+00:00,2.168566,-6.0973816,-3.4722223e-05,0.0
2019-01-09 04:00:00+00:00,1.8252786,-6.216339,-3.4722223e-05,0.0
2019-01-09 05:00:00+00:00,1.5714297,-5.9670105,-3.4722223e-05,0.0
2019-01-09 06:00:00+00:00,1.3716158,-5.6467896,-3.4722223e-05,0.0
2019-01-09 07:00:00+00:00,1.4688625,-5.0544434,38.987534,26.705833
2019-01-09 08:00:00+00:00,1.510652,-3.7780151,131.91347,75.877396
2019-01-09 09:00:00+00:00,1.8345565,-2.5464783,238.51036,110.32063
2019-01-09 10:00:00+00:00,1.26711,-1.1447449,338.80624,91.194336
2019-01-09 11:00:00+00:00,0.75576377,0.048187256,375.9654,82.68118
